BzoneID,Area,Keep,MissTract,HHBASE,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHSIZ1,HHSIZ2,HHSIZ3,HHSIZ4,PAGE0TO14,PAGE15TO19,PAGE20TO29,PAGE30TO54,PAGE55TO64,PAGE65PLUS,PINC,POPBASE,PRACASN,PRACBLK,PRACMUL,PRACNAT,PRACOTH,PRACPAC,PRACWHT
D410290001001,1,1,0,473,209,154,66,10,16,18,174,99,52,148,520,104,155,398,206,59,10294,1442,0,27,15,4,122,0,1274
D410290001002,1,1,0,361,260,87,8,6,0,0,244,87,17,13,43,62,118,213,105,78,9313,619,0,7,16,3,4,0,589
D410290002011,1,1,0,423,109,194,50,45,11,14,140,112,89,82,226,89,232,163,183,108,14984,1001,48,0,14,16,39,0,884
D410290002012,1,1,0,512,173,102,140,50,29,18,172,227,28,85,154,106,146,353,219,97,20371,1075,0,4,26,225,0,0,820
D410290002013,1,1,0,523,219,201,44,43,16,0,168,161,28,166,598,94,261,582,288,25,9569,1848,0,19,50,50,7,0,1722
D410290002021,1,1,0,493,99,175,139,22,39,19,160,146,69,118,191,149,212,342,233,139,17222,1266,0,0,68,36,87,0,1075
D410290002022,1,1,0,371,102,90,63,83,7,26,108,139,106,18,90,37,234,261,165,34,23595,821,0,0,0,15,51,0,755
D410290002023,1,1,0,483,194,70,92,37,40,50,131,125,19,208,382,178,327,547,232,147,13030,1813,0,8,75,0,170,0,1560
D410290002031,1,1,0,501,69,222,116,23,62,9,151,255,62,33,178,28,128,337,182,142,21508,995,0,0,83,41,12,0,859
D410290002032,1,1,0,551,108,116,124,31,132,40,69,231,99,152,350,184,185,490,308,116,18055,1633,0,18,50,0,119,0,1446
D410290002033,1,1,0,508,91,145,121,71,74,6,128,213,39,128,259,68,401,246,211,105,18257,1290,0,0,52,5,98,0,1135
D410290003001,1,1,0,868,146,179,144,116,125,158,145,226,226,271,811,92,362,663,539,189,21391,2656,51,0,25,170,33,0,2377
D410290003002,1,1,0,1466,557,399,189,195,76,50,471,363,401,231,908,38,871,798,462,531,16739,3608,47,8,102,0,36,0,3415
D410290004031,1,1,0,1210,91,160,198,178,160,423,326,470,151,263,521,288,235,633,690,745,35009,3112,37,27,144,5,49,0,2850
D410290004032,1,1,0,315,7,46,63,50,109,40,66,114,100,35,110,0,149,162,208,175,29047,804,0,4,37,0,0,0,763
D410290004041,1,1,0,819,77,143,156,78,164,201,144,296,99,280,450,139,181,545,481,542,26727,2338,19,0,210,0,11,0,2098
D410290004042,1,1,0,889,53,123,113,91,201,308,106,407,181,195,436,255,115,494,578,595,37266,2473,73,42,0,0,6,0,2352
D410290004051,1,1,0,675,229,98,170,37,42,99,188,177,121,189,526,47,351,549,246,237,18608,1956,22,55,90,0,26,75,1688
D410290004052,1,1,0,1067,219,186,281,192,91,98,394,392,107,174,348,106,305,659,604,439,23765,2461,0,42,29,0,7,88,2295
D410290004061,1,1,0,878,143,340,174,81,72,68,444,241,106,87,211,50,555,206,236,501,23687,1759,53,0,43,0,178,0,1485
D410290004062,1,1,0,1084,104,134,182,233,217,214,265,368,140,311,780,246,327,785,507,432,24762,3077,98,9,272,16,0,69,2613
D410290005011,1,1,0,549,210,183,69,18,51,18,177,193,123,56,286,64,327,333,128,87,15808,1225,0,0,127,7,18,41,1032
D410290005012,1,1,0,729,103,153,158,91,80,144,247,271,104,107,370,81,259,404,290,288,29109,1692,12,0,30,19,36,0,1595
D410290005021,1,1,0,456,0,139,104,35,80,98,69,154,66,167,343,98,245,355,368,195,23298,1604,111,0,71,0,118,0,1304
D410290005022,1,1,0,851,273,276,162,56,37,47,265,376,43,167,394,146,492,734,550,248,17454,2564,65,42,140,0,0,106,2211
D410290005023,1,1,0,1003,514,328,112,13,36,0,567,239,150,47,432,54,402,432,195,438,13306,1953,64,0,28,182,0,0,1679
