TRACTGEOID,DUP,HHBASE,HHWRK0,HHWRK1,HHWRK2,HHWRK3,MF,MH,POPBASE,SF
41029000100,43,816,352,300,149,15,407,55,2022,312
41029000201,102,1425,302,689,409,24,387,0,3849,935
41029000202,195,1318,383,465,389,82,321,7,3826,795
41029000203,114,1525,259,779,367,120,12,17,3844,1382
41029000300,177,2283,672,907,552,152,653,382,6145,1071
41029000403,30,1491,480,548,390,73,119,9,3841,1333
41029000404,0,1670,445,507,595,124,8,24,4720,1638
41029000405,59,1704,493,587,514,109,911,0,4333,734
41029000406,0,1918,665,566,578,110,785,0,4744,1132
41029000501,73,1250,293,645,294,16,308,27,2862,843
41029000502,51,2259,874,700,591,95,1182,0,6004,1026
41029000601,13,2526,995,665,832,34,272,0,6543,2241
41029000602,131,2818,1618,690,474,36,969,0,5376,1718
41029000700,126,3482,813,1489,1116,64,61,510,9352,2785
41029000800,0,2362,1037,673,503,149,318,491,5507,1552
41029000900,15,3241,962,1151,940,188,282,145,8814,2800
41029001001,71,2592,876,966,643,107,245,410,6223,1866
41029001002,30,1692,495,609,544,44,392,74,4492,1196
41029001100,0,2028,662,720,591,54,31,481,5176,1516
41029001200,77,1491,352,579,468,94,318,0,4312,1096
41029001301,0,1572,427,375,630,140,99,323,5493,1150
41029001302,0,3211,789,1153,918,350,26,996,9798,2189
41029001400,76,4039,1471,1058,1230,280,386,450,10722,3127
41029001500,33,2184,980,535,562,107,271,342,4835,1539
41029001601,50,1958,777,705,400,75,335,1382,4562,191
41029001602,108,2880,1087,942,616,236,536,624,6737,1611
41029001700,216,3274,1292,1259,663,59,385,774,7270,1899
41029001800,55,3836,1614,1215,835,174,731,381,8283,2668
41029001900,34,877,205,405,185,81,301,8,2833,534
41029002000,92,1191,402,448,312,29,349,0,2227,751
41029002100,84,1774,785,646,343,0,385,0,3385,1305
41029002200,58,2140,875,753,369,143,237,90,4278,1756
41029002300,0,670,291,168,175,35,1,86,1549,581
41029002400,3,795,283,272,192,49,13,102,1964,677
41029002500,0,1105,386,425,241,54,0,122,2492,983
41029003001,0,1710,717,594,354,44,10,632,3868,1069
