Bzone,PUMA,TRACTGEOID,REGION
D410290001001,901,41029000100,1
D410290001002,901,41029000100,1
D410290002013,901,41029000201,1
D410290002012,901,41029000201,1
D410290002011,901,41029000201,1
D410290002023,901,41029000202,1
D410290002022,901,41029000202,1
D410290002021,901,41029000202,1
D410290002031,901,41029000203,1
D410290002032,901,41029000203,1
D410290002033,901,41029000203,1
D410290003002,901,41029000300,1
D410290003001,901,41029000300,1
D410290004031,901,41029000403,1
D410290004032,901,41029000403,1
D410290004041,901,41029000404,1
D410290004042,901,41029000404,1
D410290004052,901,41029000405,1
D410290004051,901,41029000405,1
D410290004061,901,41029000406,1
D410290004062,901,41029000406,1
D410290005012,901,41029000501,1
D410290005011,901,41029000501,1
D410290005021,901,41029000502,1
D410290005022,901,41029000502,1
D410290005023,901,41029000502,1
D410290006011,901,41029000601,1
D410290006013,901,41029000601,1
D410290006012,901,41029000601,1
D410290006014,901,41029000601,1
D410290006023,901,41029000602,1
D410290006022,901,41029000602,1
D410290006021,901,41029000602,1
D410290007003,901,41029000700,1
D410290007005,901,41029000700,1
D410290007004,901,41029000700,1
D410290007002,901,41029000700,1
D410290007001,901,41029000700,1
D410290008002,901,41029000800,1
D410290008001,901,41029000800,1
D410290009003,901,41029000900,1
D410290009001,901,41029000900,1
D410290009002,901,41029000900,1
D410290009004,901,41029000900,1
D410290010014,901,41029001001,1
D410290010012,901,41029001001,1
D410290010013,901,41029001001,1
D410290010011,901,41029001001,1
D410290010022,901,41029001002,1
D410290010021,901,41029001002,1
D410290010023,901,41029001002,1
D410290011001,901,41029001100,1
D410290011003,901,41029001100,1
D410290011002,901,41029001100,1
D410290012002,901,41029001200,1
D410290012001,901,41029001200,1
D410290013011,902,41029001301,1
D410290013012,902,41029001301,1
D410290013013,902,41029001301,1
D410290013014,902,41029001301,1
D410290013021,902,41029001302,1
D410290013023,902,41029001302,1
D410290013024,902,41029001302,1
D410290013025,902,41029001302,1
D410290013022,902,41029001302,1
D410290014002,902,41029001400,1
D410290014001,902,41029001400,1
D410290014003,902,41029001400,1
D410290015001,902,41029001500,1
D410290015002,902,41029001500,1
D410290015004,902,41029001500,1
D410290015003,902,41029001500,1
D410290016011,901,41029001601,1
D410290016012,901,41029001601,1
D410290016024,902,41029001602,1
D410290016023,902,41029001602,1
D410290016021,902,41029001602,1
D410290016022,902,41029001602,1
D410290016025,902,41029001602,1
D410290017003,902,41029001700,1
D410290017002,902,41029001700,1
D410290017001,902,41029001700,1
D410290017004,902,41029001700,1
D410290018002,902,41029001800,1
D410290018003,902,41029001800,1
D410290018004,902,41029001800,1
D410290018001,902,41029001800,1
D410290019002,902,41029001900,1
D410290019001,902,41029001900,1
D410290020001,902,41029002000,1
D410290020002,902,41029002000,1
D410290021003,902,41029002100,1
D410290021001,902,41029002100,1
D410290021002,902,41029002100,1
D410290022003,902,41029002200,1
D410290022001,902,41029002200,1
D410290022002,902,41029002200,1
D410290022004,902,41029002200,1
D410290023002,902,41029002300,1
D410290023001,902,41029002300,1
D410290024002,902,41029002400,1
D410290024001,902,41029002400,1
D410290025003,902,41029002500,1
D410290025001,902,41029002500,1
D410290030011,902,41029003001,1
