BzoneID,PUMA,TRACTGEOID,REGION
D410290001001,00901,41029000100,1
D410290001002,00901,41029000100,1
D410290002013,00901,41029000201,1
D410290002012,00901,41029000201,1
D410290002011,00901,41029000201,1
D410290002023,00901,41029000202,1
D410290002022,00901,41029000202,1
D410290002021,00901,41029000202,1
D410290002031,00901,41029000203,1
D410290002032,00901,41029000203,1
D410290002033,00901,41029000203,1
D410290003002,00901,41029000300,1
D410290003001,00901,41029000300,1
D410290004031,00901,41029000403,1
D410290004032,00901,41029000403,1
D410290004041,00901,41029000404,1
D410290004042,00901,41029000404,1
D410290004052,00901,41029000405,1
D410290004051,00901,41029000405,1
D410290004061,00901,41029000406,1
D410290004062,00901,41029000406,1
D410290005012,00901,41029000501,1
D410290005011,00901,41029000501,1
D410290005021,00901,41029000502,1
D410290005022,00901,41029000502,1
D410290005023,00901,41029000502,1
D410290006011,00901,41029000601,1
D410290006013,00901,41029000601,1
D410290006012,00901,41029000601,1
D410290006014,00901,41029000601,1
D410290006023,00901,41029000602,1
D410290006022,00901,41029000602,1
D410290006021,00901,41029000602,1
D410290007003,00901,41029000700,1
D410290007005,00901,41029000700,1
D410290007004,00901,41029000700,1
D410290007002,00901,41029000700,1
D410290007001,00901,41029000700,1
D410290008002,00901,41029000800,1
D410290008001,00901,41029000800,1
D410290009003,00901,41029000900,1
D410290009001,00901,41029000900,1
D410290009002,00901,41029000900,1
D410290009004,00901,41029000900,1
D410290010014,00901,41029001001,1
D410290010012,00901,41029001001,1
D410290010013,00901,41029001001,1
D410290010011,00901,41029001001,1
D410290010022,00901,41029001002,1
D410290010021,00901,41029001002,1
D410290010023,00901,41029001002,1
D410290011001,00901,41029001100,1
D410290011003,00901,41029001100,1
D410290011002,00901,41029001100,1
D410290012002,00901,41029001200,1
D410290012001,00901,41029001200,1
D410290013011,00902,41029001301,1
D410290013012,00902,41029001301,1
D410290013013,00902,41029001301,1
D410290013014,00902,41029001301,1
D410290013021,00902,41029001302,1
D410290013023,00902,41029001302,1
D410290013024,00902,41029001302,1
D410290013025,00902,41029001302,1
D410290013022,00902,41029001302,1
D410290014002,00902,41029001400,1
D410290014001,00902,41029001400,1
D410290014003,00902,41029001400,1
D410290015001,00902,41029001500,1
D410290015002,00902,41029001500,1
D410290015004,00902,41029001500,1
D410290015003,00902,41029001500,1
D410290016011,00901,41029001601,1
D410290016012,00901,41029001601,1
D410290016024,00902,41029001602,1
D410290016023,00902,41029001602,1
D410290016021,00902,41029001602,1
D410290016022,00902,41029001602,1
D410290016025,00902,41029001602,1
D410290017003,00902,41029001700,1
D410290017002,00902,41029001700,1
D410290017001,00902,41029001700,1
D410290017004,00902,41029001700,1
D410290018002,00902,41029001800,1
D410290018003,00902,41029001800,1
D410290018004,00902,41029001800,1
D410290018001,00902,41029001800,1
D410290019002,00902,41029001900,1
D410290019001,00902,41029001900,1
D410290020001,00902,41029002000,1
D410290020002,00902,41029002000,1
D410290021003,00902,41029002100,1
D410290021001,00902,41029002100,1
D410290021002,00902,41029002100,1
D410290022003,00902,41029002200,1
D410290022001,00902,41029002200,1
D410290022002,00902,41029002200,1
D410290022004,00902,41029002200,1
D410290023002,00902,41029002300,1
D410290023001,00902,41029002300,1
D410290024002,00902,41029002400,1
D410290024001,00902,41029002400,1
D410290025003,00902,41029002500,1
D410290025001,00902,41029002500,1
D410290030011,00902,41029003001,1
